Ligne;Direction;Description;Séquence;Arrêt;Description;Distance Inter-Arrêts
7;1.0;8 Mai 1945 > LESCAR Soleil;20.0;SJEAN_1;St Jean;373.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;32.0;BOSQQD_D;PAU Bosquet Quai D;343.0
7;1.0;8 Mai 1945 > LESCAR Soleil;22.0;EALPHA_E;ESAT Alpha;238.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;33.0;FAISAN_2;Faisans;350.0
7;1.0;8 Mai 1945 > LESCAR Soleil;24.0;SBENOI_1;St Benoît;589.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;36.0;CONSER_2;Conservatoire;229.0
7;1.0;8 Mai 1945 > LESCAR Soleil;25.0;SANSAR_1;Sansarricq;249.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;37.0;BUISSO_O;Buisson;740.0
7;1.0;8 Mai 1945 > LESCAR Soleil;26.0;SAPINS_O;Sapins;389.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;38.0;MDBIZA_2;Mairie de Bizanos;519.0
7;1.0;8 Mai 1945 > LESCAR Soleil;27.0;CDLARR_1;Castet de l'Array;376.0
6;2.0;SERRES-CASTET Liben > BIZANOS Laurets;40.0;BALAVO_S;Balavoine;153.0
7;1.0;8 Mai 1945 > LESCAR Soleil;29.0;REGINA_1;Régina;401.0
7;1.0;8 Mai 1945 > LESCAR Soleil;3.0;RUISSE_2;Ruisseau;140.0
7;1.0;8 Mai 1945 > LESCAR Soleil;31.0;TRESPO_1;Trespoey;366.0
7;1.0;8 Mai 1945 > LESCAR Soleil;6.0;SDARTI_1;Stade d'Artigueloutan;382.0
7;1.0;8 Mai 1945 > LESCAR Soleil;34.0;BOSQQC_C;PAU Bosquet Quai C;389.0
7;1.0;8 Mai 1945 > LESCAR Soleil;13.0;ARMAND_1;Armandieu;691.0
7;1.0;8 Mai 1945 > LESCAR Soleil;42.0;CLAVER_2;Claverie;645.0
7;1.0;8 Mai 1945 > LESCAR Soleil;28.0;TREVIL_1;Tréville;529.0
7;1.0;8 Mai 1945 > LESCAR Soleil;45.0;MDBILL_O;Mairie de Billère;244.0
7;1.0;8 Mai 1945 > LESCAR Soleil;33.0;FAISAN_1;Faisans;429.0
7;1.0;8 Mai 1945 > LESCAR Soleil;46.0;SDBILL_2;Stade Hugot;282.0
7;1.0;8 Mai 1945 > LESCAR Soleil;38.0;CIMETI_2;Cimetière;447.0
7;1.0;8 Mai 1945 > LESCAR Soleil;51.0;DGENNE_2;De Gennes;280.0
7;1.0;8 Mai 1945 > LESCAR Soleil;39.0;218ERI_2;218ème RI;354.0
7;1.0;8 Mai 1945 > LESCAR Soleil;54.0;MONTGO_2;Montgolfier;738.0
7;1.0;8 Mai 1945 > LESCAR Soleil;40.0;HUTTON_E;Hutton;367.0
7;1.0;8 Mai 1945 > LESCAR Soleil;56.0;CCLESC_2;Induspal;484.0
7;1.0;8 Mai 1945 > LESCAR Soleil;41.0;BOURBO_2;Bourbon;240.0
7;1.0;8 Mai 1945 > LESCAR Soleil;57.0;LQLIQE_E;LESCAR Quartier Libre;238.0
7;1.0;8 Mai 1945 > LESCAR Soleil;48.0;PLAINE_2;Plaine;289.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;4.0;CANAL_1;Canal;1013.0
7;1.0;8 Mai 1945 > LESCAR Soleil;49.0;LINIER_2;Linière;236.0
